Type,Bill #,PA #,PA Year,Subject,Date of Last History Action,Last History Action,Primary Sponsor
House Bill,4961,24,2025,"Individual income tax: income; treatment of certain provisions under the internal revenue code and revenue distributions; modify. Amends secs. 12, 30, 36, 607, 695 & 805 of 1967 PA 281 (MCL 206.12 et seq.) & repeals sec. 51d of 1967 PA 281 (MCL 206.51d).   TIE BAR WITH: HB 4183'25, HB 4951'25, HB 4968'25",10/8/25,assigned PA 24'25 with immediate effect,Ann Bollin
House Bill,4962,31,2025,"Military affairs: other; Michigan National Guard member benefit fund; create. Creates new act.   TIE BAR WITH: HB 4958'25, HB 4953'25",11/4/25,assigned PA 31'25 with immediate effect,Ron Robinson
House Bill,4968,25,2025,"Insurance: other; reporting requirements; provide for. Amends secs. 7, 11 & 17 of 2018 PA 175 (MCL 550.1757 et seq.).   TIE BAR WITH: HB 4183'25, HB 4951'25, HB 4961'25",10/8/25,assigned PA 25'25 with immediate effect,Greg VanWoerkom
House Bill,5055,35,2025,Law enforcement: other; jurisdiction of sergeant at arms; modify. Amends sec. 2 of 2001 PA 185 (MCL 4.382). ,12/2/25,assigned PA 35'25,Sarah Lightner
House Bill,5078,44,2025,"Highways: memorial; portion of M-22; designate as the ""Company K Indian Veterans 1st Michigan Sharpshooters Civil War Memorial Highway"". Amends 2001 PA 142 (MCL 250.1001 - 250.2092) by adding sec. 108. ",12/31/25,assigned PA 44'25,John Roth
House Bill,5092,34,2025,Animals: exotic; breeding license requirements; modify. Amends sec. 22a of 2000 PA 274 (MCL 287.1122a). ,12/2/25,assigned PA 34'25 with immediate effect,Matt Bierlein
House Bill,5455,6,2026,Health occupations: physicians; interstate medical licensure compact; update. Amends 1978 PA 368 (MCL 333.1101 - 333.25211) by adding sec. 16189. ,4/14/26,assigned PA 006'26 with immediate effect,Rylee Linting
House Bill,5797,15,2026,School aid: penalties; exception to minimum days of pupil instruction requirement for inclement weather; revise. Amends sec. 101 of 1979 PA 94 (MCL 388.1701). ,6/2/26,assigned PA 15'26 with immediate effect,Parker Fairbairn
Senate Bill,0008,1,2025,"Labor: hours and wages; minimum hourly wage rate; modify Amends secs. 2, 4, 4d, 9 & 10 of 2018 PA 337 (MCL 408.932 et seq.).   TIE BAR WITH: HB 4002'25",2/25/25,ASSIGNED PA 0001'25 WITH IMMEDIATE EFFECT,Kevin Hertel
Senate Bill,0023,58,2025,Land use: land division; number of parcels resulting from division; authorize counties and municipalities to increase. Amends sec. 108 of 1967 PA 288 (MCL 560.108). ,12/23/25,ASSIGNED PA 0058'25,Kevin Hertel
